timestamp,speed,peak,min,std,gyro,event
1774554358971,0.0,10.549332,-0.77779496,2.717283,0.93224555,HARSH_ACCELERATION
1774554359984,0.0,9.443543,-0.27591106,3.4314592,0.8090306,NORMAL
1774554361000,0.0,0.26368728,-10.783192,1.4813908,0.29632863,NORMAL
1774554362002,0.0,8.894214,-5.159766,3.507025,0.68926865,HARSH_ACCELERATION
1774554433492,0.0,4.68,-6.4619718,2.0985384,1.8729223,NORMAL
1774554434505,0.0,8.944496,-3.28941,3.262172,1.5499191,HARSH_ACCELERATION
1774554487757,0.0,8.806667,-8.208128,3.1137536,2.3612802,HARSH_ACCELERATION
1774554488763,0.0,9.532674,-1.993631,3.0724378,1.0727979,NORMAL
1774557158103,0.0,9.508276,-6.6703434,2.4664078,1.1589571,HARSH_ACCELERATION
1774557159112,0.0,8.428793,-4.4806724,3.02133,1.8069344,NORMAL
1774557160124,0.0,4.022066,-3.4853044,1.5148717,0.6036276,NORMAL
1774558686133,0.0,7.596157,-1.7280244,2.0173018,1.1910609,HARSH_ACCELERATION
1774558687150,0.0,7.7749248,-0.7089448,2.8366182,1.1598032,NORMAL
1774559804763,0.0,8.3894825,-6.663193,2.5530367,1.3369123,HARSH_ACCELERATION
1774559805775,0.0,6.615386,-3.1556823,3.053737,1.4332778,NORMAL
1774559806779,0.0,0.6758132,-1.1229643,0.4117059,0.35082126,NORMAL
1774559943508,0.0,5.7341127,-1.9447033,1.0693208,0.56304544,NORMAL
1774559944508,0.0,6.45751,-2.2508771,2.718136,3.0232613,UNSTABLE_RIDE
1774559945517,0.0,5.1895237,-1.7602613,2.3931348,1.1330007,NORMAL
1774560075272,0.0,4.80186,-8.719927,2.2299917,1.0907544,HARSH_BRAKING
1774560076295,0.0,10.3632965,-4.21435,3.1603756,5.167293,NORMAL
1774560077319,0.0,9.384808,-6.989093,2.6611986,2.0302215,HARSH_ACCELERATION
1774560078358,0.40662432,3.4534156,-4.7830987,1.7841163,0.7779739,NORMAL
1774560503919,0.0,8.05714,-7.555662,3.294247,1.6274459,HARSH_ACCELERATION
1774560504920,0.0,7.1787,-0.8038026,2.7350137,0.9249039,NORMAL
1774561946248,0.0,0.023845045,-0.59375024,0.12380445,0.042952318,NORMAL
1774561947267,0.0,5.789026,-10.6850395,2.0586886,1.3827076,HARSH_BRAKING
1774561948294,0.0,6.347311,-6.9359837,2.4674704,2.236014,NORMAL
1774561960471,0.0,0.025533507,-0.047591496,0.028481344,0.028257338,NORMAL
1774562295422,0.0,5.3454967,-7.087138,2.265457,0.61613834,HARSH_BRAKING
1774562296422,0.0,9.7122755,-7.461648,3.3599494,1.8877758,NORMAL
1774562297441,0.0,5.121959,-2.0981834,1.934322,0.55489534,NORMAL
1774583654919,0.0,0.017610887,-0.033270493,0.028571317,0.03082339,NORMAL
1774586694576,0.0,6.893818,-4.6444964,1.629788,0.5208288,HARSH_ACCELERATION
1774586695594,0.0,6.70851,-9.768979,3.4274187,2.6891713,NORMAL
1774586696618,0.0,1.3831078,-8.330416,2.628522,0.9929169,HARSH_BRAKING
1774586697623,0.0,3.7405312,-0.40723443,0.5686832,0.3479501,NORMAL
1774586698643,0.0,5.1552887,-1.4305265,2.0603108,0.75902903,NORMAL
1774586699674,0.0,0.63257873,-1.0260195,0.4913705,0.20760797,NORMAL
1774586700691,0.0,0.27328527,-0.18741566,0.12003662,0.14366941,NORMAL
1774587352383,0.0,6.4373736,-6.6494713,2.0149386,1.1893388,HARSH_BRAKING
1774587353405,0.0,5.596874,-9.388745,2.2661116,1.7420745,NORMAL
1774587354428,0.0,1.3308417,-7.2011824,2.0097837,0.56310517,HARSH_BRAKING
