speed,peakForwardAccel,minForwardAccel,stdAccel,meanGyro,instability_score,motion_intensity,label
48.000675,2.4487476,-1.0584121,0.8408989,0.2257949,0.99895533,0.18987068303561,NORMAL
30.097904,1.1542163,-1.6944422,0.5615633,0.10723733,0.636629431,0.060220548917989,NORMAL
31.39302,2.3486047,-6.6131263,1.6304973,0.42275885,1.9264284950000001,0.6893071634761051,HARSH_BRAKING
0.0,9.405495,-0.84493524,2.8142803,1.2020628,3.65572426,3.38294165740284,HARSH_ACCELERATION
56.386093,1.8101208,-6.307294,1.9810135,0.57167006,2.381182542,1.13248610640581,HARSH_BRAKING
14.638383,1.0303336,-1.1910312,0.5225131,0.2619891,0.7059054699999999,0.13689273680720998,NORMAL
36.826454,3.2141967,-5.6375103,2.1878936,0.60098714,2.608584598,1.3148959172883041,HARSH_BRAKING
51.828033,5.1399884,-4.2940607,1.8802941,0.641203,2.3291361999999998,1.2056502178022999,UNSTABLE_RIDE
0.0,7.596157,-1.7280244,2.0173018,1.1910609,2.85104443,2.40272929747962,HARSH_ACCELERATION
29.63256,2.4143047,-2.4674172,1.1634401,0.26931342,1.3519594940000002,0.31333003229614204,NORMAL
31.341606,1.7360018,-4.681378,2.235308,0.34159657,2.474425599,0.76357354569356,UNSTABLE_RIDE
33.29881,3.115677,-8.191769,2.1181698,0.2638776,2.30288412,0.55893756321648,NORMAL
29.316814,2.9629374,-1.830198,0.86780375,0.5160785,1.2290587,0.447854857594375,NORMAL
32.13631,1.1396034,-1.4093581,0.7119576,0.33750275,0.948209525,0.2402876478834,NORMAL
42.079014,6.039547,-6.7369795,2.3775246,1.1522716,3.18411472,2.73955407488136,HARSH_ACCELERATION
26.942228,1.8088831,-3.512165,0.9610705,0.12270552,1.0469643640000001,0.11792865545916001,NORMAL
34.514843,1.1051812,-1.2703348,0.700357,0.22709383,0.859322681,0.15904675349731,NORMAL
36.320667,3.5442092,-7.2265162,2.1680713,0.44427863,2.479066341,0.963227746906319,HARSH_BRAKING
0.0,5.3454967,-7.087138,2.265457,0.61613834,2.6967538380000002,1.39583491532138,HARSH_BRAKING
20.088432,1.4280992,-1.7717081,1.3022248,0.33884376,1.539415432,0.441250747597248,UNSTABLE_RIDE
42.287643,5.710594,-5.2239585,2.3054152,0.8439224,2.89616088,1.94559152858048,UNSTABLE_RIDE
19.275011,5.6297617,-4.6218596,1.8353016,0.5523787,2.22196669,1.01378151191592,UNSTABLE_RIDE
13.848643,0.7870403,-1.322871,0.6708684,0.1855088,0.80072456,0.12445199184192,NORMAL
20.713123,1.2008009,-1.1395067,0.58820605,0.13808711,0.684867027,0.08122367352901551,NORMAL
33.07673,4.7892423,-3.3298254,1.8363917,0.33183032,2.068672924,0.609370445456344,NORMAL
0.0,7.6348033,-9.752567,2.2103531,0.8930898,2.83551596,1.97404380800838,HARSH_ACCELERATION
25.524338,4.5018573,-3.7102857,1.7440021,0.5807587,2.15053319,1.01284439239327,NORMAL
31.829044,2.4690661,-3.1171114,1.259049,0.15182358,1.365325506,0.19115332657542003,NORMAL
24.396414,3.1224377,-2.144809,1.8729264,0.29048306,2.076264542,0.544053391826784,NORMAL
18.253695,3.8457627,-2.947243,1.5035748,0.43096906,1.805253142,0.647994218195688,UNSTABLE_RIDE
19.683155,1.4977629,-2.6121469,1.1488874,0.34634915,1.391331805,0.39791617443571,NORMAL
37.03016,2.2298772,-1.3089128,1.0521973,0.32997227,1.283177889,0.347195931568871,NORMAL
43.891106,0.88197184,-1.1752118,0.63370085,0.19558181,0.770608117,0.1239403592415385,NORMAL
41.47052,4.6368318,-7.092924,1.6356224,0.6655915,2.10153645,1.0886563666495999,HARSH_BRAKING
14.887224,1.868971,-1.3667238,0.70058686,0.1794827,0.8262247500000001,0.125743221217322,NORMAL
30.115631,1.5443945,-1.182754,0.69317067,0.13632488,0.788598086,0.09449640840726961,NORMAL
31.742153,1.1194727,-1.8460586,0.9627775,0.11036319,1.040031733,0.106255196160225,NORMAL
0.0,8.944496,-3.28941,3.262172,1.5499191,4.34711537,5.056102690285201,HARSH_ACCELERATION
25.265617,2.390779,-1.8569949,0.7431885,0.16968593,0.861968651,0.12610863178780501,NORMAL
20.335514,1.764844,-3.038756,1.3766136,0.6063533,1.80106091,0.83471419918488,UNSTABLE_RIDE
48.49255,1.9932472,-1.7366965,1.228476,0.29223323,1.4330392609999998,0.35900150945748,NORMAL
27.995335,1.1417589,-1.0306926,0.5824209,0.15598327,0.691609189,0.090847916498343,NORMAL
12.619677,1.0547354,-1.0676216,0.5529201,0.42033696,0.8471559719999999,0.232412753956896,NORMAL
12.473705,1.1100738,-1.9039358,0.58378845,0.24196364,0.753162998,0.141255578351958,NORMAL
43.70896,1.2540041,-1.0713202,0.73414445,0.17882809,0.859324113,0.1312856497776005,NORMAL
20.888798,1.8895928,-9.274652,1.6793903,0.29529524,1.886096968,0.495915961692172,UNSTABLE_RIDE
38.19862,1.344331,-1.8983296,1.0819165,0.33065367,1.313374069,0.357739661358555,NORMAL
46.907448,7.898741,-2.618969,1.7755244,0.49863705,2.124570335,0.88534224901902,HARSH_ACCELERATION
0.0,5.315692,-6.0189266,2.4773126,1.3387678,3.41445006,3.31654633941428,UNSTABLE_RIDE
29.7971,2.2115066,-1.7342731,0.74773216,0.38339388,1.016107876,0.2866759340231808,NORMAL
34.477695,0.9154576,-1.0812119,0.9354995,0.11946506,1.019125042,0.11175950389747,NORMAL
16.789717,1.0811207,-3.091528,1.6907101,0.5405794,2.06911568,0.9139630514319401,UNSTABLE_RIDE
0.0,5.789026,-10.6850395,2.0586886,1.3827076,3.02658392,2.84656437325336,HARSH_BRAKING
16.4221,0.7345607,-1.1058608,0.592684,0.1892315,0.72514605,0.11215448234599999,NORMAL
17.20923,0.8316199,-1.1274203,0.6688126,0.25219527,0.845349289,0.16867137423640202,NORMAL
0.0,8.3894825,-6.663193,2.5530367,1.3369123,3.48887531,3.41318616658141,HARSH_ACCELERATION
36.580902,9.051035,-5.4519415,2.8954897,1.1171191,3.67747307,3.23460684772327,HARSH_ACCELERATION
48.024498,2.4034498,-1.4154866,1.4305997,0.22993617,1.5915550189999998,0.328946615821149,NORMAL
32.20469,3.5021887,-2.7637432,1.910286,0.3413236,2.14921252,0.6520256945496,NORMAL
29.32642,3.1440966,-1.2140307,1.268999,0.26118174,1.451826218,0.33143936687826,NORMAL
0.0,9.508276,-6.6703434,2.4664078,1.1589571,3.27767777,2.85846083130538,HARSH_ACCELERATION
26.962448,9.8661585,-2.5984085,1.5033951,0.32370427,1.7299880890000001,0.48665541336707707,UNSTABLE_RIDE
20.858788,3.2619846,-3.2038414,1.3280977,0.18579839,1.4581565730000001,0.24675841442270302,NORMAL
35.604088,2.2494287,-1.58054,0.74091434,0.16800742,0.858519534,0.12447910670440279,NORMAL
31.024353,6.275575,-1.6469828,1.1047467,0.17853528,1.229721396,0.19723626141357598,NORMAL
35.468918,3.7752466,-2.4540262,1.5829648,0.34011894,1.8210480580000001,0.538396309833312,NORMAL
26.349537,2.0410767,-2.2878196,1.1729949,0.27732208,1.367120356,0.325297385497392,NORMAL
0.0,8.05714,-7.555662,3.294247,1.6274459,4.433459129999999,5.3612087737372995,HARSH_ACCELERATION
48.84362,4.4756913,-2.208434,2.012321,0.55585134,2.401416938,1.1185513243601402,UNSTABLE_RIDE
19.135202,2.3455164,-3.8113387,1.4785686,0.4187643,1.7717036099999999,0.61917174478098,NORMAL
30.21445,3.5307612,-3.1815991,1.5744942,0.20750342,1.7197465939999999,0.326712931270164,NORMAL
36.051205,1.794361,-5.2108417,1.9800789,0.2874906,2.18132232,0.56925407100834,NORMAL
0.0,10.549332,-0.77779496,2.717283,0.93224555,3.369854885,2.53317498484065,HARSH_ACCELERATION
37.67127,1.4275677,-1.4154824,0.7864364,0.31935394,1.009984158,0.25115156289941604,NORMAL
52.52433,4.46835,-4.2240944,2.0121567,0.60460776,2.435382132,1.216565555155992,NORMAL
46.335625,4.1857586,-2.986382,2.077965,0.83347696,2.661398872,1.7319359511863999,UNSTABLE_RIDE
31.49585,2.2220395,-3.0153117,1.8663551,0.31384063,2.086043541,0.585738060387713,NORMAL
44.306164,2.3885293,-6.469994,1.3794936,0.21717106,1.531513342,0.29958608737521597,UNSTABLE_RIDE
17.546156,2.3029058,-4.6277337,1.6143589,0.5409675,1.99303615,0.8733156982357501,UNSTABLE_RIDE
41.072674,2.6259542,-3.0455308,1.4906555,0.33497033,1.7251347309999998,0.49932536475131495,NORMAL
28.451778,1.5422647,-5.6455913,1.8813446,0.3878537,2.15284219,0.72968646408502,UNSTABLE_RIDE
